INFO  - 2014-01-23 20:55:50.435; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-01-23 20:55:50.519; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/jesse/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2014-01-23 20:55:50.547; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/jesse/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2014-01-23 20:55:50.717; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/jesse/Downloads/solr-4.6.0/example/webapps/solr.war!/ to /home/jesse/Downloads/solr-4.6.0/example/solr-webapp/webapp
INFO  - 2014-01-23 20:55:54.822; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-01-23 20:55:54.949; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-01-23 20:55:54.994; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-01-23 20:55:54.994; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-01-23 20:55:54.995; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-01-23 20:55:55.333; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/jesse/Downloads/solr-4.6.0/example/solr/solr.xml
INFO  - 2014-01-23 20:55:55.792; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-01-23 20:55:55.882; org.apache.solr.core.CoreContainer; New CoreContainer 1619519236
INFO  - 2014-01-23 20:55:55.883; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-01-23 20:55:55.937; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-01-23 20:55:55.938; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-01-23 20:55:55.938; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-01-23 20:55:55.946; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-01-23 20:55:55.948; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-01-23 20:55:55.949; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-01-23 20:55:55.950; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-01-23 20:55:55.950; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-01-23 20:55:55.951; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-01-23 20:55:56.936; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-01-23 20:55:56.938; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-01-23 20:55:57.082; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/jesse/Downloads/solr-4.6.0/example/solr
INFO  - 2014-01-23 20:55:57.131; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/jesse/Downloads/solr-4.6.0/example/solr/collection1/
INFO  - 2014-01-23 20:55:57.132; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-01-23 20:55:57.135; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/jesse/Downloads/solr-4.6.0/example/solr/collection1
